model_variant,input_source,latent_dim,dropout,lr,weight_decay,beta,cls_weight,tc_weight,best_epoch,best_val_auc,test_auc,test_acc
vae,all,8,0.1,0.001,0.0001,1.0,2.0,0.0,1,0.7727272727272728,0.6770833333333334,0.6666666666666666
vae,all,4,0.1,0.001,0.0005,1.0,1.0,0.0,5,0.5833333333333333,0.5694444444444444,0.6666666666666666
vae,all,4,0.1,0.001,0.0005,1.0,1.0,0.0,17,0.6212121212121211,0.3958333333333333,0.6666666666666666
vae,all,4,0.1,0.001,0.0001,1.0,1.0,0.0,44,0.8030303030303031,0.7152777777777778,0.7222222222222222
vae,all,4,0.1,0.001,0.0001,1.0,1.0,0.0,18,0.5454545454545454,0.4739583333333333,0.6666666666666666
vae,all,4,0.1,0.001,0.0001,1.0,1.0,0.0,44,0.8030303030303031,0.7152777777777778,0.7222222222222222
vae,all,4,0.1,0.001,0.0001,1.0,1.0,0.0,17,0.6212121212121211,0.3958333333333333,0.6666666666666666
vae,all,4,0.1,0.001,0.0001,1.0,1.0,0.0,17,0.6212121212121211,0.3958333333333333,0.6666666666666666
vae,all,4,0.1,0.001,0.0001,1.0,1.0,0.0,61,0.6818181818181819,0.75,0.6111111111111112
vae,all,4,0.1,0.001,0.0001,1.0,1.0,0.0,61,0.6818181818181819,0.75,0.6111111111111112
vae,all,4,0.3,0.001,0.0001,1.0,1.0,0.0,72,0.6818181818181819,0.7256944444444444,0.6666666666666666
vae,all,2,0.3,0.001,0.001,1.0,1.0,0.0,5,0.7575757575757576,0.5833333333333334,0.5277777777777778
vae,all,2,0.3,0.001,0.001,1.0,1.0,0.0,5,0.7575757575757576,0.5833333333333334,0.5277777777777778
vae,all,4,0.4,0.001,0.0001,1.0,1.0,0.0,4,0.6969696969696969,0.8263888888888888,0.6666666666666666
vae,all,4,0.4,0.001,0.0001,2.0,1.0,0.0,33,0.7272727272727273,0.6180555555555556,0.6666666666666666
vae,all,4,0.4,0.001,0.0001,2.0,1.0,0.0,29,0.8484848484848485,0.4756944444444445,0.5833333333333334
vae,all,4,0.4,0.001,0.0005,2.0,1.0,0.0,29,0.8484848484848485,0.4756944444444445,0.5833333333333334
