HISTO_NET_T1_Bin5,HISTO_NET_T1_Bin9,HISTO_ET_T2_Bin4,HISTO_ED_T2_Bin2,HISTO_ED_T2_Bin10,HISTO_NET_T2_Bin10,HISTO_ET_FLAIR_Bin5,HISTO_ED_FLAIR_Bin10,HISTO_NET_FLAIR_Bin1,SPATIAL_Temporal,SPATIAL_Insula,TEXTURE_GLOBAL_ET_T1Gd_Skewness,TEXTURE_GLOBAL_ET_FLAIR_Skewness,TEXTURE_GLOBAL_ED_T1Gd_Kurtosis,TEXTURE_GLOBAL_ED_T1_Skewness,TEXTURE_GLOBAL_NET_FLAIR_Skewness,TEXTURE_GLCM_ET_T1_Variance,TEXTURE_GLCM_ED_T1Gd_Correlation,TEXTURE_GLCM_NET_FLAIR_AutoCorrelation,TEXTURE_GLRLM_ED_T1Gd_LRLGE,TEXTURE_GLRLM_ED_T2_LGRE,TEXTURE_GLRLM_ED_T2_RLV,TEXTURE_GLRLM_NET_FLAIR_HGRE,TEXTURE_GLSZM_ET_T2_LZLGE,TEXTURE_GLSZM_ED_T1Gd_LZE,TEXTURE_GLSZM_NET_T1Gd_LZE,TEXTURE_GLSZM_NET_T1_SZHGE,TEXTURE_GLSZM_NET_FLAIR_ZSN,TEXTURE_GLSZM_NET_FLAIR_SZLGE,TEXTURE_NGTDM_ET_FLAIR_Busyness,TEXTURE_NGTDM_NET_T1Gd_Busyness,TGM_Cog_Z_2
6.1188,15.2168,2.0101,0.0,0.0,15.9537,1.5913,0.0,0.045909,20.0854,0.037419,0.55305,-0.55185,0.0,0.0,0.00030095,0.022266,0.0,1435.11,0.0,0.0,0.0,1340.417,0.66983,0.0,1286.6426,631.2788,0.37786,0.0039995,0.070294,2.8714,0.0
0.1049099999999999,15.3028,8.2146,13.2364,1.6507,7.8931,15.5131,0.17905,0.0041141999999999,1.31,0.64648,0.4559399999999999,-0.013153,-0.7717,-0.18131,-0.17222,0.0602529999999999,0.88925,1032.2402,0.057534,0.024349,1.4998e-05,944.5069,1.9069,276.806,128.5139,677.0465,0.3551,0.0087077,0.8970799999999999,1.9575,0.0
6.3749,7.9663,0.0,0.004142,0.074556,0.047362,0.0,14.5632,0.018945,92.8724,0.074691,0.0,0.0,-1.1352,-0.068709,-0.2655,0.0,0.83622,1183.0651,0.047327,0.023848,2.7395e-05,1110.6546,0.0,62.2249,61.8349,471.7469,0.35388,0.0057034,0.0,0.38998,0.089398
19.3556,5.3859,16.8585,6.0958,0.13194,0.31258,4.1948,9.7137,0.4328,97.6208,0.0,0.0015527999999999,-0.0525299999999999,-1.2042,0.00062698,-0.28617,0.079733,0.90747,800.8653,0.057035,0.023514,1.8724e-05,1004.0721,4.3398,207.6475,2.3998,1051.4819,0.43601,0.012328,0.49737,0.4655399999999999,0.0
31.6609,1.6956,22.7085,8.8603,0.32014,6.2265,35.0567,12.7484,0.48645,76.8376,0.0,0.059523,0.12055,-1.1978,-0.014622,0.10884,0.047526,0.96082,713.3969999999999,0.075041,0.025024,1.074e-05,790.2192,11.8375,2048.7853,12.3151,405.1481,0.3830199999999999,0.0067954999999999,1.3623,0.52265,0.0
24.4444,12.5926,23.0101,0.0,0.25514,3.7037,19.9711,8.6043,2.2222,0.0,0.0,0.049713,0.095842,-1.131,0.0037293,0.55552,0.076731,0.8883,397.5781,0.054192,0.02205,1.7861e-05,407.6355,0.18924,155.801,2.6875,661.5399,0.48539,0.037433,0.054061,0.0273,0.0
18.0078,0.69838,21.0084,0.0,0.33062,14.2062,7.563,3.4715,0.040322,96.4815,0.98148,0.089025,-0.34877,-0.95242,0.027923,0.0082848,0.025541,0.89079,1259.3797,0.042143,0.023567,2.5905e-05,1267.2951,0.053937,64.7778,303.4979,699.1767,0.37966,0.0027972,0.023135,1.853,0.0
12.7451,26.9608,3.4716,16.5656,0.034156,4.902,7.0395,5.5674,1.4706,100.0,0.0,0.23124,-0.18659,-0.64518,0.10869,0.27503,0.0067231,0.8506,315.9883,0.041374,0.02309,2.3326e-05,382.2037,0.30559,189.4488,3.0073,183.9152,0.6300600000000001,0.0091653,0.07245,0.0449,0.0
6.6667,13.3333,17.676,1.3598,0.099673,5.0,23.1643,8.8353,5.0,78.2952,0.0,0.085631,0.17904,-1.0497,0.027723,0.058959,0.0326,0.93928,121.9314,0.051621,0.022733,1.5955e-05,143.4192,0.25026,117.7911,1.5385,117.8118,0.65686,0.025438,0.40214,0.028736,0.0
8.2797,0.57809,0.45974,7.9017,1.1086,63.8071,4.6105,0.44666,58.2743,0.013734,0.73136,0.037038,-0.0079896,-1.142,-0.01266,0.5833,0.0636,0.85684,412.2216,0.046785,0.023242,1.885e-05,482.6343,1.5564,36.1902,1314.6015,485.7473,0.31276,0.0055909,0.32763,5.6624,0.0
