HISTO_NET_T1_Bin5,HISTO_NET_T1_Bin9,HISTO_ET_T2_Bin4,HISTO_ED_T2_Bin2,HISTO_ED_T2_Bin10,HISTO_NET_T2_Bin10,HISTO_ET_FLAIR_Bin5,HISTO_ED_FLAIR_Bin10,HISTO_NET_FLAIR_Bin1,SPATIAL_Temporal,SPATIAL_Insula,TEXTURE_GLOBAL_ET_T1Gd_Skewness,TEXTURE_GLOBAL_ET_FLAIR_Skewness,TEXTURE_GLOBAL_ED_T1Gd_Kurtosis,TEXTURE_GLOBAL_ED_T1_Skewness,TEXTURE_GLOBAL_NET_FLAIR_Skewness,TEXTURE_GLCM_ET_T1_Variance,TEXTURE_GLCM_ED_T1Gd_Correlation,TEXTURE_GLCM_NET_FLAIR_AutoCorrelation,TEXTURE_GLRLM_ED_T1Gd_LRLGE,TEXTURE_GLRLM_ED_T2_LGRE,TEXTURE_GLRLM_ED_T2_RLV,TEXTURE_GLRLM_NET_FLAIR_HGRE,TEXTURE_GLSZM_ET_T2_LZLGE,TEXTURE_GLSZM_ED_T1Gd_LZE,TEXTURE_GLSZM_NET_T1Gd_LZE,TEXTURE_GLSZM_NET_T1_SZHGE,TEXTURE_GLSZM_NET_FLAIR_ZSN,TEXTURE_GLSZM_NET_FLAIR_SZLGE,TEXTURE_NGTDM_ET_FLAIR_Busyness,TEXTURE_NGTDM_NET_T1Gd_Busyness,TGM_Cog_Z_2
13.8892,1.5697,0.0,0.0027223,0.021779,0.055934,0.0,10.8921,0.017479,0.0,0.0,0.0,0.0,-1.1994,0.0031673,-0.049228,0.0,0.97833,1129.51,0.082642,0.022205,1.3944e-05,1051.3342,0.0,794.391,99.8158,585.1919,0.31815,0.0085866,0.0,1.0899,0.0
17.7206,6.227,3.4483,3.2989,0.32028,3.7292,1.9854,9.5764,0.15846,0.0,0.0,0.10456,-0.22015,-1.2056,0.016984,0.0029732,0.013201,0.95822,1350.3654,0.062388,0.024915,1.1929e-05,1341.8229,0.15795,604.0491,1039.0597,826.8099,0.33389,0.0035644,0.054498,1.2795,0.0
18.916,0.76652,4.3051,12.0999,0.11264,1.7802,13.5952,22.3974,2.6221,0.0,0.0,0.17553,-0.1993,-1.2019,-0.0012235,-0.12596,0.043839,0.82722,871.2948,0.03261,0.024186,2.7577e-05,877.9508,0.65664,10.3848,65.693,936.6364,0.45118,0.0066421,0.091644,0.96342,0.108945
4.2392,8.4299,6.383,0.0,0.2309,1.2836,9.5745,8.7516,0.11795,0.0,0.0,0.81992,0.097446,-1.1996,-0.12718,-0.12625,0.0062817,0.84722,931.334,0.041371,0.022068,1.4304e-05,896.5965,0.028269,32.8064,15.2859,463.636,0.38798,0.0069226,0.020771,0.80072,0.0
0.64555,41.4035,2.3459,13.076,0.004982,60.8012,14.7084,0.0083033,0.007809,53.744,8.1131,-0.18324,0.00032382,-1.0803,-0.10263,-0.6967800000000001,0.0595429999999999,0.8576,732.0141,0.047278,0.0248129999999999,1.931e-05,625.1538,1.4116,108.7228,15319.2793,189.4873,0.2909199999999999,0.020442,1.1652,2.0338,0.0
0.030895,23.5152,0.0,0.0,0.023917,1.2873,0.0,5.1076,0.0010298,0.0017345,2.3156,0.0,0.0,-1.17,-0.070057,0.076234,0.0,0.81716,994.8089,0.043529,0.021253,1.1077e-05,1063.8626,0.0,57.4315,45.6656,647.268,0.38528,0.0063158,0.0,5.0991,0.0
15.6545,3.6004,2.5093,3.4299,0.0041225,4.9017,2.259,7.3106,0.026331,62.3995,7.0188,0.085518,-0.25973,-1.2027,-0.025784,-0.047184,0.020972,0.95844,1260.7608,0.053692,0.022601,1.3711e-05,1297.7108,1.6782,413.996,153.7603,675.0076,0.38444,0.0030504,0.66788,1.4874,0.0
13.8021,8.0729,13.1167,15.5344,0.035844,5.7292,15.5235,2.8152,1.0417,100.0,0.0,0.15674,0.1474099999999999,-0.83567,-0.0081119,0.26689,0.053403,0.93499,971.2006,0.054583,0.022037,1.4992e-05,880.5889999999999,0.41966,745.8075,3.0963,587.198,0.52779,0.0096863,0.083098,0.060929,0.0
16.6329,6.8458,24.2761,32.105,0.014741,0.81136,11.5458,2.9702,0.45639,0.0,0.0,0.18284,-0.10608,-1.077,-0.050047,-0.30536,0.051577,0.93952,762.2123,0.041231,0.02306,2.3667e-05,825.1183,1.4482,165.6829,17.2681,689.6588,0.43117,0.0036545,0.3646,0.34859,0.0844897
7.9593,0.35907,6.1778,9.3512,0.0604279999999999,7.69,1.6132,2.6269,0.23938,95.6358,3.5951,0.086936,-0.26576,-1.05,0.050408,-0.31476,0.074585,0.93851,450.9874,0.0657919999999999,0.021484,1.8755e-05,437.6793,1.2578,458.3644,8.7613,227.8067,0.29145,0.0046485,0.48045,0.20321,0.0
29.7157,0.4335,4.6057,0.32154,0.012948,0.0076629,8.0757,0.0035967,0.026273,0.99513,3.318,0.35969,-0.033949,-1.201,0.0016002,0.0047706,0.075043,0.95501,1400.1545,0.072252,0.023951,1.8145e-05,1343.1091,0.45847,478.7526,142.8777,772.8959,0.35224,0.0042071,0.039338,2.4467,0.0
58.5866,0.60019,15.1348,0.76239,0.93764,0.30978,3.7044,0.016902,0.077444,61.539,0.0,0.10024,0.066494,-0.85729,0.1195,0.11385,0.058544,0.93805,801.2232,0.07786,0.02326,1.5872e-05,861.9686,22.5871,878.9266,22.702,825.1855,0.44306,0.0061368,2.0097,0.46636,0.0
34.0163,1.7962,1.4815,4.4133,0.36813,2.8066,4.4444,2.8852,0.028066,0.0,0.0,-0.0017767,-1.0985,-1.2018,0.011405,-0.047461,0.034196,0.89709,765.2087,0.042499,0.023168,1.796e-05,735.0366,0.1713,38.2422,92.2986,696.0296,0.33118,0.011018,0.050034,0.24533,0.121948
4.119,12.1281,24.987,3.4006,0.4364,0.45767,8.0871,0.7674,1.6018,0.0,0.0,0.0032392,-0.16701,-1.1921,0.11457,-0.011141,0.044115,0.92538,538.8272,0.074295,0.023935,1.308e-05,509.4484,1.1829,561.5774,1.8927,343.6888,0.51765,0.024038,0.11727,0.061184,0.0
0.0,71.2301,25.0777,0.0,0.075234,25.7073,5.742999999999999,0.075234,0.0067606,8.6184,0.0,0.0080358999999999,0.0013706,-0.9227,-0.23066,-0.60833,0.042656,0.8942,675.8199,0.052244,0.024047,2.6106e-05,633.0369999999999,9.1801,145.5282,783.7166,411.6892,0.35061,0.0073254999999999,1.1593,1.7105,0.0
8.8879,8.4225,8.4482,15.9343,0.090463,2.094,7.5509,25.8626,0.093067,0.0,0.0,0.0018299,-0.0019567,-1.1968,0.0213539999999999,-0.090651,0.083817,0.8792,1238.0121,0.081395,0.021884,1.3099e-05,1245.8711,3.5103,81.6771,4.5146,1171.1088,0.4914,0.0079372,0.3199599999999999,0.17909,0.0
55.8043,0.0037007,6.8533,0.80189,1.8042,0.22469,13.5135,8.3388,0.0021147,0.21615,1.8149,0.19933,0.1722,-1.2021,0.017448,-0.0025228,0.0093577,0.95949,1300.0752,0.088571,0.019916,9.01e-06,1245.3919,0.44209,928.396,451.3332,438.4726,0.3708,0.0036053,0.06414,4.8437,0.0
10.7337,4.212,18.1595,0.0,0.043616,2.7174,11.3093,29.6093,1.3587,1.5357,0.0,0.00046108,0.054582,-1.1981,0.013877,-0.016939,0.069762,0.8609,767.7955,0.065723,0.023468,1.4815999999999998e-05,1070.7179,7.5632,63.5857,2.128,1161.6955,0.65847,0.0094600999999999,1.2928,0.064784,0.0
22.8685,0.6492,0.0,0.0055768,0.27512,0.18987,0.0,5.2273,0.2164,0.0,0.0,0.0,0.0,-1.196,0.0017263,0.0026101,0.0,0.82358,1294.4727,0.040466,0.023007,1.3962e-05,1365.4481,0.0,29.5596,24.053,874.3019,0.43787,0.0043282,0.0,4.7252,0.0
