VOLUME_NET_OVER_WT,TEXTURE_GLRLM_ED_T1Gd_LGRE,TEXTURE_GLSZM_NET_FLAIR_LZHGE,SOLIDITY_ED,TEXTURE_GLCM_NET_T2_Contrast,HISTO_ET_FLAIR_Bin5,TEXTURE_GLRLM_ED_T2_GLN,HISTO_ET_T1_Bin9,TEXTURE_GLCM_ET_FLAIR_Energy,HISTO_ED_T1Gd_Bin7,HISTO_NET_T1_Bin1,TEXTURE_GLSZM_ED_T2_LGZE,HISTO_ET_T1_Bin5,TEXTURE_GLRLM_ED_FLAIR_HGRE,HISTO_NET_FLAIR_Bin10,TEXTURE_GLCM_ET_FLAIR_Dissimilarity,HISTO_ED_FLAIR_Bin10,TEXTURE_GLCM_ED_T2_Variance,SPATIAL_Temporal,SPATIAL_Insula,TEXTURE_GLSZM_ED_T2_SZE,TEXTURE_GLRLM_ED_T2_GLV,HISTO_ET_T1_Bin8,INTENSITY_Mean_ET_FLAIR,TEXTURE_GLRLM_ED_T1Gd_LRLGE,SPATIAL_Frontal,HISTO_NET_T2_Bin2,HISTO_NET_FLAIR_Bin6,HISTO_NET_T2_Bin7,TEXTURE_GLRLM_ED_T1_SRLGE,TEXTURE_GLOBAL_ED_T1Gd_Skewness,HISTO_NET_T1_Bin4,TEXTURE_GLSZM_NET_T2_SZLGE,TEXTURE_GLSZM_ET_T1_ZSV,TEXTURE_GLOBAL_ED_T1_Skewness,TEXTURE_GLCM_NET_T2_Homogeneity,TEXTURE_GLSZM_ED_FLAIR_SZHGE,HISTO_ET_T2_Bin4,TEXTURE_GLSZM_ED_FLAIR_LZLGE,TGM_Cog_Y_1,TEXTURE_GLSZM_ED_T1Gd_GLN,TEXTURE_GLCM_ED_T1Gd_Correlation,TEXTURE_GLSZM_ET_T2_LZLGE,TEXTURE_GLCM_NET_T2_Variance,TEXTURE_GLSZM_ED_T1_LZHGE,TEXTURE_GLRLM_ET_T2_LGRE,VOLUME_ET_OVER_NET,TEXTURE_GLSZM_ED_T2_LZLGE,TEXTURE_GLSZM_ED_FLAIR_SZE,TEXTURE_GLRLM_NET_T2_LRLGE,INTENSITY_Mean_ED_T1Gd,TEXTURE_GLRLM_NET_FLAIR_GLN,TEXTURE_GLRLM_NET_T2_GLN,TEXTURE_GLSZM_ED_T1Gd_SZHGE,HISTO_ET_T1_Bin1,HISTO_NET_T1Gd_Bin7,TEXTURE_GLSZM_NET_T1_SZHGE,TEXTURE_GLRLM_ED_T1Gd_RLV,TEXTURE_GLRLM_NET_T1Gd_GLV,HISTO_NET_T1_Bin5,HISTO_ET_T1_Bin10,TEXTURE_GLOBAL_NET_T2_Variance,TEXTURE_GLRLM_NET_T2_SRHGE,TEXTURE_GLOBAL_ED_FLAIR_Kurtosis,TEXTURE_NGTDM_ED_T1_Coarseness,HISTO_NET_T2_Bin8,TEXTURE_GLOBAL_ET_FLAIR_Skewness,TGM_dw,HISTO_ED_T2_Bin1,TEXTURE_GLRLM_ED_FLAIR_GLV,INTENSITY_STD_ED_T2,TEXTURE_GLRLM_ET_T2_LRHGE,HISTO_ET_FLAIR_Bin7,TEXTURE_NGTDM_NET_T1Gd_Contrast,TEXTURE_GLCM_NET_FLAIR_Correlation,HISTO_ET_T1_Bin4,INTENSITY_STD_ED_FLAIR,HISTO_ET_T1_Bin6,TEXTURE_GLOBAL_NET_T2_Kurtosis,HISTO_ED_T2_Bin7,ECCENTRICITY_NET,VOLUME_WT_OVER_BRAIN,HISTO_ED_T1Gd_Bin2,TEXTURE_GLCM_ED_T1_Variance
0.412072663,0.023339,1008943.515,0.39979,39.5739,0.0,0.016778,0.0,0.0,0.19633,0.084188,0.0088329,0.0,974.4639,0.52197,0.0,1.4848,0.071435,0.12418,0.0,0.6424,0.014115,0.0,0.0,0.044792,70.569,0.087249,30.1638,23.0338,0.02054,-0.14953,42.5103,0.0068278,0.0,-0.19422,0.36634,433.3827,0.0,5.2604,0.0791538,0.025206,0.93056,0.0,0.078672,769510.8783,0.0,0.0,12.9079,0.63413,0.041124,109.4978,0.017134,0.01692,364.0469,0.0,6.1136,779.9162,2.0732e-05,0.013561,27.6596,0.0,340.6331,1200.4555,-1.0918,0.0003655,23.1808,0.0,2.44e-08,0.040768,0.0080417,20.8902,0.0,0.0,0.24091,0.94687,0.0,17.8344,0.0,-1.2017,5.3964,0.55952,0.085156851,1.3561,0.037371
0.39903701,0.01923,1503397.665,0.43751,14.8338,0.0,0.017545,0.0,0.0,6.8907,0.056421,0.0053199,0.0,1330.2392,6.8077,0.0,2.8694,0.072753,67.16,4.6882,0.63057,0.0099823,0.0,0.0,0.064725,2.6758,0.029493,1.9735,7.7079,0.013162,-0.028212,12.3024,0.0049759,0.0,0.047566,0.43098,694.7371,0.0,17.8851,0.120182,0.021128,0.93196,0.0,0.036285,3476599.538,0.0,0.0,94.2807,0.66712,0.053926,140.0576,0.026833,0.02485,577.9242,0.0,0.26672,470.41,1.6867e-05,0.012278,37.1341,0.0,316.7178,709.9116,-1.1983,0.0004189,22.6659,0.0,3.73e-08,0.18647,0.012041,26.0645,0.0,0.0,0.17318,0.90672,0.0,25.0188,0.0,-0.97783,25.9758,0.69659,0.137522729,0.23925,0.071049
0.708364276,0.023166,923267.7414,0.2412,28.0233,7.563,0.016919,5.8824,0.0027533,0.18105,0.11935,0.011084,23.5294,1093.7365,10.8289,7.5955,3.4715,0.069605,96.4815,0.98148,0.73029,0.03401,2.521,196.9305,0.042143,2.537,0.40161,13.9933,10.7256,0.019421,0.010448,33.0317,0.011633,9.9914e-05,0.027923,0.39516,701.5954,21.0084,0.14744,0.102733,0.022171,0.89079,0.053937,0.037612,133044.764,0.023001,0.001919324,3.1892,0.78337,0.041741,117.741,0.017164,0.02323,625.7415,6.7227,8.6418,699.1767,2.3676e-05,0.018416,18.0078,1.6807,298.8763,734.5792,-1.2001,0.00095423,19.561,-0.34877,5.99e-08,0.0078718,0.017118,22.9961,827.0498,33.6134,0.30836,0.93917,21.8487,21.7904,10.9244,-0.92325,24.3949,0.57572,0.060588965,7.738,0.058749
0.690902995,0.022599,330327.8459,0.1867,51.9906,9.9813,0.016428,6.0634,0.00089652,3.2218,0.07582,0.013647,19.6828,815.859,10.2478,6.2331,5.2267,0.075124,0.0070541,0.024689,0.63773,0.025131,8.9552,203.7712,0.03674,99.8131,0.12131,2.0259,30.8768,0.020365,-0.00080443,2.0684,0.0057083,1.5481e-05,-0.027462,0.35438,459.8416,13.4328,1.6595,0.0647807,0.016671,0.74525,0.61891,0.081256,54810.6603,0.021392,0.016255724,2.5904,0.71856,0.050207,112.8066,0.017256,0.016868,951.1056,3.2649,0.022746,885.9681,2.2752e-05,0.025257,7.6547,4.291,339.3371,1220.1079,-1.0479,0.00061722,9.5775,-0.053728,1.1e-07,0.0070346,0.018768,20.7991,1604.6325,21.9216,0.9685,0.86788,16.3246,17.5808,14.9254,-1.1957,13.0456,0.79063,0.073220613,0.19697,0.075552
0.038628591,0.016543,34514.0901,0.48706,74.0913,35.0567,0.016614,0.018091,0.0014263,4.1085,0.9729,0.014688,25.9186,1295.8177,4.0167,4.1107,12.7484,0.078495,76.8376,0.0,0.64588,0.01193,0.038192,161.8711,0.075041,0.0,0.75052,19.1939,14.3989,0.01227,-0.046321,31.2578,0.0066833,8.009999999999999e-07,-0.014622,0.31805,562.1728,22.7085,3.0191,0.161685,0.019326,0.96082,11.8375,0.065921,1263997.529,0.021998,6.914246004,8.9185,0.6615300000000001,0.044081,97.255,0.023152,0.017478,884.6735,0.26333,2.9326,405.1481,1.3079e-05,0.0461139999999999,31.6609,0.016081,328.2103,1114.3429,-1.1968,0.00027131,8.9507,0.12055,2.05687e-07,0.58615,0.0081963,34.2191,1642.2239,10.3743,0.7407,0.87549,35.3562,38.9661,13.6609,-1.1069,14.1937,0.5180600000000001,0.146480776,6.044,0.0559519999999999
0.024924404,0.020055,13474.1433,0.38436,62.8618,20.5117,0.016703,4.6118,0.0011482,0.2457,0.18018,0.016413,22.1651,1321.3095,1.4414,4.9629,2.032,0.078907,99.6452,0.18922,0.65854,0.01418,6.7021,143.7517,0.056038,0.0,0.6006,20.3604,2.7628,0.0187659999999999,0.27063,0.48048,0.0095745,4.815e-06,-0.033651,0.28846,549.5982,7.119,2.799,0.141389,0.023518,0.89284,15.7047,0.031161,276649.2547,0.022522,21.03243243,0.75585,0.6825399999999999,0.035581,113.729,0.017905,0.024548,559.1588,0.088523,38.0781,834.309,2.1331e-05,0.04882,21.3213,5.3856,286.8066,732.7165,-1.1951,0.0010876,18.979,0.0017268,1.2375e-08,0.87323,0.015915,35.8315,2105.4427,11.5652,0.43595,0.90394,20.9372,35.6575,14.5521,-0.8571700000000001,8.1778,0.8274299999999999,0.048268806,1.6967,0.039979
0.339157352,0.019201,1576173.38,0.21302,59.5942,5.742999999999999,0.017009,6.0399,0.00087297,1.0157,0.0067606,0.011391,0.027491,1189.704,73.5422,6.2533,0.075234,0.072403,8.6184,0.0,0.72945,0.033257,58.2598,184.0127,0.052244,7.1634,0.0,1.2237,9.0491,0.02017,-0.2399099999999999,0.0,0.005596,1.1988e-06,-0.23066,0.35488,706.0019,25.0777,1.2396,0.151147,0.023318,0.8942,9.1801,0.070664,593248.9166,0.022083,1.229591319,1.1789,0.7191,0.044475,132.2041,0.030925,0.016844,730.7527,0.082474,55.7719,411.6892,2.283e-05,0.016881,0.0,0.10722,339.3567,1098.6631,-1.2438,0.001987,19.6836,0.0013706,1.6625e-08,0.0047021,0.020655,13.0324,1796.8575,19.8076,0.32541,0.87745,0.0,22.4247,1.8007,-1.1807,4.6927,0.57143,0.06493724,1.0862,0.064195
0.10519263,0.023569,63875.7784,0.33814,60.1717,8.3527,0.023659,6.5821,0.0011057999999999,2.9575,0.015165,0.011446,8.8553,491.6484,6.7486,4.9487,0.12499,0.037366,11.2395,0.0,0.66137,0.0146349999999999,16.7816,206.8246,0.056865,3.7747,1.6303,12.7464,10.7598,0.023486,0.35059,35.2442,0.0074994,5.5026e-07,-0.18219,0.29835,266.9442,20.0715,1.2012,0.149135,0.030786,0.8251200000000001,6.0683,0.058584,853244.4069,0.020853,3.288974826,11.874,0.66025,0.035185,113.2941,0.022137,0.0186169999999999,290.1837,0.004611,6.2329,564.8157,2.2639e-05,0.024865,28.8747,0.93602,332.4198,1046.5384,-0.7391800000000001,0.00039184,15.9766,-0.10279,2.8625e-08,0.53919,0.0088784,11.7778,1873.8778,13.155,0.4294199999999999,0.8933700000000001,1.6023,12.3193,27.8571,-1.1563,0.071214,0.63473,0.084816053,0.0,0.024268
0.052634389,0.023306,12071.17,0.24637,164.3354,11.5458,0.017253,3.2663,0.0012373,25.1953,3.499,0.015315,21.2371,849.7993,15.9229,5.2967,2.9702,0.068273,0.0,0.0,0.70873,0.026745,7.777,223.7079,0.041231,100.0,2.2819,8.215,11.9675,0.019448,0.17817,18.4077,0.0047148,2.89e-06,-0.050047,0.2681,438.1603,24.2761,0.99131,0.0639815,0.021687,0.93952,1.4482,0.07147,162473.0871,0.023106,4.238336714,0.63443,0.7131,0.034544,157.7128,0.025852,0.01807,460.9085,1.6152,0.30426,689.6588,2.1606e-05,0.032281,16.6329,0.5743,333.7384,1125.5017,-1.15,0.00096161,5.6795,-0.10608,1.66e-08,2.7823,0.01323,16.7431,1737.0272,19.1553,0.30647,0.77946,14.0704,20.2314,21.1055,-1.1389,0.53803,0.84008,0.023527594,0.036851,0.060305
0.000635986,0.0189009999999999,334.5312,0.63061,31.6633,0.2445699999999999,0.018137,17.3953,0.0009735,0.4576199999999999,2.1277,0.014409,3.1183,1079.7175,10.6383,5.8712,15.1028,0.066039,35.251,40.3766,0.64057,0.011913,20.5747,196.4859,0.073018,24.3724,10.6383,31.9149,6.382999999999999,0.012258,0.030019,0.0,0.059712,5.4813e-06,0.0294329999999999,0.29505,466.2154,0.030572,4.3576,0.103338,0.020319,0.94564,0.8678,0.0053368,661732.2229,0.023691,69.59574468,4.2,0.6481600000000001,0.043218,115.8191,0.050276,0.070958,603.7247,1.6203,21.2766,230.192,1.7391e-05,0.087078,0.0,26.3528,256.4554,143.0844,-1.144,0.00055884,6.382999999999999,-0.010957,7.5e-07,0.080756,0.012591,27.3515,1459.8137,12.1064,1.1075,0.057776,0.0,26.4169,12.4121,-0.70389,37.1123,0.95479,0.047939101,0.0014168,0.070214
